City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
414,Koshurnikovo,RU,54.1667,93.3,-2.47,99,100,2.53,overcast clouds
415,Gold Coast,AU,-28.0,153.4333,72.0,94,90,1.01,light intensity shower rain
416,Urdoma,RU,61.7533,48.5442,15.24,93,100,9.98,overcast clouds
417,Komsomolets,KZ,53.7453,62.0708,3.78,89,22,7.85,few clouds
418,Verkhnyaya Toyma,RU,62.2349,44.9985,18.07,95,100,8.75,snow
419,Porto Velho,BR,-8.7619,-63.9039,84.25,74,20,4.61,few clouds
420,La Palma,US,33.8464,-118.0467,66.11,75,75,5.01,broken clouds
421,Kupang,ID,-10.1667,123.5833,79.52,83,99,3.31,overcast clouds
422,Uruzgan,AF,32.8333,66.0,36.07,98,100,5.44,moderate rain
423,Sao Luis,BR,-2.5297,-44.3028,80.8,94,20,4.61,moderate rain
424,Hamada,JP,34.8833,132.0833,30.99,59,100,8.55,overcast clouds
425,Quatre Cocos,MU,-20.2078,57.7625,75.31,77,34,8.39,light rain
426,Adelaide,AU,-34.9333,138.6,82.56,47,100,1.01,overcast clouds
427,Kirkland Lake,CA,48.1446,-80.0377,28.69,86,100,3.51,overcast clouds
428,Rio Grande,BR,-32.035,-52.0986,80.71,75,32,7.52,scattered clouds
429,Khuzhir,RU,53.1939,107.3397,10.35,64,81,11.48,broken clouds
430,Ancud,CL,-41.8697,-73.8203,57.42,92,100,15.9,moderate rain
431,Nuevo Casas Grandes,MX,30.4167,-107.9167,53.33,67,100,14.76,overcast clouds
432,Tarauaca,BR,-8.1614,-70.7656,83.82,68,90,3.0,overcast clouds
433,Bethel,US,41.3712,-73.414,50.36,89,87,1.01,overcast clouds
434,Katangli,RU,51.7102,143.2326,4.23,87,100,27.51,light snow
435,Inhambane,MZ,-23.865,35.3833,76.19,88,35,3.18,scattered clouds
436,Alice Springs,AU,-23.7,133.8833,85.55,32,29,8.05,scattered clouds
437,Half Moon Bay,US,37.4636,-122.4286,55.74,68,1,5.01,clear sky
438,Yantal,RU,56.8471,105.2542,-15.77,99,99,3.91,overcast clouds
439,Cairns,AU,-16.9167,145.7667,83.07,86,27,1.14,scattered clouds
440,Gadung,PH,6.8025,124.02,80.01,72,100,10.54,overcast clouds
441,Sulangan,PH,11.1373,123.7228,78.73,81,100,21.43,overcast clouds
442,Sakaiminato,JP,35.55,133.2333,39.13,81,75,18.41,light shower snow
443,Nefteyugansk,RU,61.0998,72.6035,1.65,93,100,9.46,overcast clouds
444,Abnub,EG,27.2696,31.1511,57.42,81,78,4.59,broken clouds
445,Barberton,ZA,-25.7884,31.0532,68.05,96,100,3.06,overcast clouds
446,Kashi,CN,39.4547,75.9797,20.41,63,92,8.95,overcast clouds
447,Sept-Iles,CA,50.2001,-66.3821,28.83,86,90,2.3,overcast clouds
448,Yulin,CN,22.6333,110.15,56.46,70,70,2.86,broken clouds
449,Ngunguru,NZ,-35.6167,174.5,77.16,60,7,11.05,clear sky
450,Talisay,PH,10.2447,123.8494,77.02,88,90,17.27,moderate rain
451,Manicore,BR,-5.8092,-61.3003,80.47,78,77,0.94,broken clouds
452,Niono,ML,14.2526,-5.993,73.35,14,1,10.38,clear sky
453,Morros,BR,-9.4467,-46.3003,70.09,97,100,5.14,overcast clouds
454,Port Hardy,CA,50.6996,-127.4199,34.75,80,40,6.91,scattered clouds
455,Roma,US,43.2128,-75.4557,46.38,93,82,3.31,broken clouds
456,Palasbari,IN,26.1361,91.5486,56.43,78,14,1.83,few clouds
457,Bandarbeyla,SO,9.4942,50.8122,76.73,76,12,13.27,few clouds
458,Dayong,CN,25.0209,118.2898,51.48,77,7,1.36,clear sky
459,Kargil,IN,34.5667,76.1,3.47,63,99,2.33,overcast clouds
460,Menomonie,US,44.8755,-91.9193,22.82,73,100,12.66,overcast clouds
461,Asau,RO,46.4333,26.4,31.28,97,98,7.45,overcast clouds
462,Nome,US,64.5011,-165.4064,-3.93,59,90,4.61,haze
463,Kamenka,RU,51.3223,42.7678,12.27,99,100,6.71,overcast clouds
464,Husavik,IS,66.0449,-17.3389,4.91,70,90,8.16,overcast clouds
465,Belokurikha,RU,51.9959,84.9896,10.92,86,100,3.8,overcast clouds
466,Port Hedland,AU,-20.3167,118.5667,82.45,78,0,9.22,clear sky
467,Jega,NG,12.2175,4.3792,72.16,16,33,9.91,scattered clouds
468,Kishi,NG,9.0833,3.85,79.52,21,5,3.06,clear sky
469,Ladario,BR,-19.0047,-57.6017,91.69,58,20,6.91,few clouds
470,Kahului,US,20.8947,-156.47,78.82,82,40,3.44,light rain
471,Ahipara,NZ,-35.1667,173.1667,70.66,61,3,11.74,clear sky
472,Shevchenko,UA,48.5,35.0,29.44,100,90,6.71,fog
473,Port-Gentil,GA,-0.7193,8.7815,79.25,85,99,9.91,overcast clouds
474,Zyryanka,RU,65.75,150.85,-44.57,99,90,2.51,overcast clouds
475,Buenos Aires,AR,-34.6132,-58.3772,92.03,65,0,14.97,clear sky
476,Santa Fe,AR,-31.6333,-60.7,99.01,16,33,3.0,light rain
477,Prince Rupert,CA,54.3161,-130.3201,33.49,71,90,4.61,overcast clouds
478,Zhuhai,CN,22.2769,113.5678,62.98,82,20,9.22,few clouds
479,Kapit,MY,2.0167,112.9333,72.52,99,99,0.74,overcast clouds
480,Pineville,US,31.3224,-92.4343,82.26,70,9,13.04,clear sky
481,Vanderhoof,CA,54.0166,-124.0198,2.57,91,100,4.12,overcast clouds
482,Beloha,MG,-25.1667,45.05,75.27,81,98,6.62,overcast clouds
483,Waitara,NZ,-38.925,174.25,68.72,61,27,9.86,scattered clouds
484,Neiafu,TO,-18.65,-173.9833,84.88,79,75,12.66,light rain
485,Shimoda,JP,34.6667,138.95,30.11,53,1,13.06,clear sky
486,Redmond,US,47.674,-122.1215,35.67,67,60,1.99,light snow
487,Mansa,IN,29.9833,75.3833,48.61,45,53,2.3,broken clouds
488,Spirovo,RU,57.419,34.9766,32.05,96,100,6.98,overcast clouds
489,Zadar,HR,44.1197,15.2422,45.21,100,0,0.0,fog
490,Berlevag,NO,70.8578,29.0864,29.8,56,100,22.28,light snow
491,Ayagoz,KZ,47.9714,80.4392,7.03,83,100,4.27,overcast clouds
492,Kalmunai,LK,7.4167,81.8167,75.81,90,99,4.47,overcast clouds
493,Porto Novo,BJ,6.4965,2.6036,84.02,80,63,6.13,broken clouds
494,Umm Kaddadah,SD,13.6017,26.6876,66.63,22,59,9.82,broken clouds
495,Patacamaya,BO,-17.2333,-67.9167,58.28,48,67,11.23,broken clouds
496,Hualmay,PE,-11.0964,-77.6139,72.52,75,73,7.9,broken clouds
497,Sal Rei,CV,16.1833,-22.9167,73.96,74,95,15.3,overcast clouds
498,Mackay,AU,-21.15,149.2,83.68,78,46,6.91,scattered clouds
499,Paracatu,BR,-17.2222,-46.8747,66.43,97,100,8.52,moderate rain
500,Manbij,SY,36.5281,37.9549,45.37,56,26,7.29,scattered clouds
501,Gisors,FR,49.2818,1.7801,53.98,94,77,6.73,broken clouds
502,Sovetskaya,RU,44.7769,41.1722,37.2,90,100,2.13,overcast clouds
503,Ixtapa,MX,20.7,-105.2,78.22,77,1,7.0,clear sky
504,Cartagena,CO,10.3997,-75.5144,85.62,66,20,11.5,few clouds
505,Bundaberg,AU,-24.85,152.35,76.21,95,75,5.01,broken clouds
506,Sistranda,NO,63.7256,8.834,36.9,60,98,23.78,overcast clouds
507,Kysyl-Syr,RU,63.8986,122.7617,-30.84,98,100,6.29,overcast clouds
508,Koungou,YT,-12.7336,45.2042,78.51,89,0,2.3,clear sky
509,Alyangula,AU,-13.8483,136.4192,78.67,100,100,0.0,overcast clouds
510,Terney,RU,45.0503,136.6092,-3.93,84,15,18.12,few clouds
511,Abu Samrah,SY,35.3029,37.1841,48.13,69,86,5.88,overcast clouds
512,Encruzilhada Do Sul,BR,-30.5439,-52.5219,67.3,85,86,6.15,overcast clouds
513,Waipawa,NZ,-41.4122,175.5153,68.63,59,0,5.88,clear sky
514,Karratha,AU,-20.7377,116.8463,80.42,77,2,8.41,clear sky
515,Valdivia,CL,-39.8142,-73.2459,62.69,80,95,7.0,overcast clouds
516,Aksarka,RU,66.5606,67.7975,-5.12,99,100,5.26,overcast clouds
517,Nha Trang,VN,12.25,109.1833,75.2,85,82,8.43,broken clouds
518,Westerland,DE,54.9079,8.3033,49.17,100,90,16.11,overcast clouds
519,Bacungan,PH,9.9106,118.7022,76.24,81,91,7.45,overcast clouds
520,Coihaique,CL,-45.5752,-72.0662,56.01,54,75,8.05,broken clouds
521,Astoria,US,46.1879,-123.8313,38.95,83,7,5.01,clear sky
522,Parys,FR,48.8534,2.3488,54.14,94,90,3.0,overcast clouds
523,Tamale,GH,9.4008,-0.8393,82.89,14,82,6.24,broken clouds
524,Rondonopolis,BR,-16.4708,-54.6356,75.88,90,70,7.63,broken clouds
525,Corrales,US,35.2378,-106.6067,49.96,75,99,3.0,overcast clouds
526,Ornskoldsvik,SE,63.2909,18.7153,20.35,93,90,6.91,overcast clouds
527,Sao Mateus,BR,-18.7161,-39.8589,75.24,91,100,7.4,overcast clouds
528,Mayumba,GA,-3.432,10.6554,76.71,91,91,0.11,overcast clouds
529,Zhangye,CN,38.9342,100.4517,19.76,33,2,4.45,clear sky
530,Belgrade,RS,44.804,20.4651,49.69,93,0,2.3,clear sky
531,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,94,75,17.83,broken clouds
532,Kalengwa,ZM,-13.4659,25.0027,61.18,96,27,3.47,scattered clouds
533,Vardo,NO,70.3705,31.1107,31.12,52,100,24.14,light snow
534,Cradock,ZA,-32.1642,25.6192,66.51,67,3,2.86,clear sky
535,Chicama,PE,-7.8447,-79.1469,68.54,66,68,9.24,broken clouds
536,Kamien Pomorski,PL,53.9685,14.7726,53.51,98,100,17.58,overcast clouds
537,Anshun,CN,26.25,105.9333,35.83,89,100,7.81,overcast clouds
538,Chapais,CA,49.7834,-74.8492,22.78,95,100,10.58,light snow
539,Tual,ID,-5.6667,132.75,82.76,78,100,9.06,overcast clouds
540,Lata,PT,40.1629,-8.3327,62.82,70,93,6.24,overcast clouds
541,Lukiv,UA,51.0521,25.4006,46.18,94,100,16.84,overcast clouds
542,Mandalgovi,MN,45.7625,106.2708,1.13,85,5,10.8,clear sky
543,Irgakly,RU,44.3611,44.7556,36.3,84,92,1.39,overcast clouds
544,Bridgetown,BB,13.1,-59.6167,81.09,65,40,16.11,scattered clouds
545,Dzilam Gonzalez,MX,21.2833,-88.9333,86.95,51,20,10.13,few clouds
546,Arcachon,FR,44.5875,-1.0519,50.32,100,21,4.61,few clouds
547,Moron De La Frontera,ES,37.1208,-5.454,59.47,82,0,3.44,clear sky
